applicationIdentifier	regex	formatString	description	label	note	fnc1Required
3303	^3303(\d{6})$	N4+N6	"Logistic weight, kilograms"	GROSS WEIGHT (kg)	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn kilograms	FALSE
3304	^3304(\d{6})$	N4+N6	"Logistic weight, kilograms"	GROSS WEIGHT (kg)	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn kilograms	FALSE
3305	^3305(\d{6})$	N4+N6	"Logistic weight, kilograms"	GROSS WEIGHT (kg)	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn kilograms	FALSE
3310	^3310(\d{6})$	N4+N6	"Length or first dimension, metres"	"LENGTH (m), log"	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn metres	FALSE
3311	^3311(\d{6})$	N4+N6	"Length or first dimension, metres"	"LENGTH (m), log"	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n metres	FALSE
3312	^3312(\d{6})$	N4+N6	"Length or first dimension, metres"	"LENGTH (m), log"	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn metres	FALSE
3313	^3313(\d{6})$	N4+N6	"Length or first dimension, metres"	"LENGTH (m), log"	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn metres	FALSE
3314	^3314(\d{6})$	N4+N6	"Length or first dimension, metres"	"LENGTH (m), log"	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn metres	FALSE
3315	^3315(\d{6})$	N4+N6	"Length or first dimension, metres"	"LENGTH (m), log"	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn metres	FALSE
3320	^3320(\d{6})$	N4+N6	"Width, diameter, or second dimension, metres"	"WIDTH (m), log"	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn metres	FALSE
3321	^3321(\d{6})$	N4+N6	"Width, diameter, or second dimension, metres"	"WIDTH (m), log"	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n metres	FALSE
3322	^3322(\d{6})$	N4+N6	"Width, diameter, or second dimension, metres"	"WIDTH (m), log"	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn metres	FALSE
3323	^3323(\d{6})$	N4+N6	"Width, diameter, or second dimension, metres"	"WIDTH (m), log"	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn metres	FALSE
3324	^3324(\d{6})$	N4+N6	"Width, diameter, or second dimension, metres"	"WIDTH (m), log"	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn metres	FALSE
3325	^3325(\d{6})$	N4+N6	"Width, diameter, or second dimension, metres"	"WIDTH (m), log"	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn metres	FALSE
3330	^3330(\d{6})$	N4+N6	"Depth, thickness, height, or third dimension, metres"	"HEIGHT (m), log"	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn metres	FALSE
3331	^3331(\d{6})$	N4+N6	"Depth, thickness, height, or third dimension, metres"	"HEIGHT (m), log"	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n metres	FALSE
3332	^3332(\d{6})$	N4+N6	"Depth, thickness, height, or third dimension, metres"	"HEIGHT (m), log"	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn metres	FALSE
3333	^3333(\d{6})$	N4+N6	"Depth, thickness, height, or third dimension, metres"	"HEIGHT (m), log"	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn metres	FALSE
3334	^3334(\d{6})$	N4+N6	"Depth, thickness, height, or third dimension, metres"	"HEIGHT (m), log"	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn metres	FALSE
3335	^3335(\d{6})$	N4+N6	"Depth, thickness, height, or third dimension, metres"	"HEIGHT (m), log"	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn metres	FALSE
3340	^3340(\d{6})$	N4+N6	"Area, square metres"	"AREA (m<sup>2</sup>), log"	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn square metres	FALSE
3341	^3341(\d{6})$	N4+N6	"Area, square metres"	"AREA (m<sup>2</sup>), log"	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n square metres	FALSE
3342	^3342(\d{6})$	N4+N6	"Area, square metres"	"AREA (m<sup>2</sup>), log"	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn square metres	FALSE
3343	^3343(\d{6})$	N4+N6	"Area, square metres"	"AREA (m<sup>2</sup>), log"	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn square metres	FALSE
3344	^3344(\d{6})$	N4+N6	"Area, square metres"	"AREA (m<sup>2</sup>), log"	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn square metres	FALSE
3345	^3345(\d{6})$	N4+N6	"Area, square metres"	"AREA (m<sup>2</sup>), log"	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn square metres	FALSE
3350	^3350(\d{6})$	N4+N6	"Logistic volume, litres"	"VOLUME (l), log"	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn litres	FALSE
3351	^3351(\d{6})$	N4+N6	"Logistic volume, litres"	"VOLUME (l), log"	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n litres	FALSE
3352	^3352(\d{6})$	N4+N6	"Logistic volume, litres"	"VOLUME (l), log"	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn litres	FALSE
3353	^3353(\d{6})$	N4+N6	"Logistic volume, litres"	"VOLUME (l), log"	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn litres	FALSE
3354	^3354(\d{6})$	N4+N6	"Logistic volume, litres"	"VOLUME (l), log"	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn litres	FALSE
3355	^3355(\d{6})$	N4+N6	"Logistic volume, litres"	"VOLUME (l), log"	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn litres	FALSE
3360	^3360(\d{6})$	N4+N6	"Logistic volume, cubic metres"	"VOLUME (m<sup>3</sup>), log"	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn cubic metres	FALSE
3361	^3361(\d{6})$	N4+N6	"Logistic volume, cubic metres"	"VOLUME (m<sup>3</sup>), log"	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n cubic metres	FALSE
3362	^3362(\d{6})$	N4+N6	"Logistic volume, cubic metres"	"VOLUME (m<sup>3</sup>), log"	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn cubic metres	FALSE
3363	^3363(\d{6})$	N4+N6	"Logistic volume, cubic metres"	"VOLUME (m<sup>3</sup>), log"	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn cubic metres	FALSE
3364	^3364(\d{6})$	N4+N6	"Logistic volume, cubic metres"	"VOLUME (m<sup>3</sup>), log"	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn cubic metres	FALSE
3365	^3365(\d{6})$	N4+N6	"Logistic volume, cubic metres"	"VOLUME (m<sup>3</sup>), log"	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn cubic metres	FALSE
3370	^3370(\d{6})$	N4+N6	Kilograms per square metre	KG PER m<sup>2</sup>	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn kilograms per square metre	FALSE
3371	^3371(\d{6})$	N4+N6	Kilograms per square metre	KG PER m<sup>2</sup>	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n kilograms per square metre	FALSE
3372	^3372(\d{6})$	N4+N6	Kilograms per square metre	KG PER m<sup>2</sup>	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn kilograms per square metre	FALSE
3373	^3373(\d{6})$	N4+N6	Kilograms per square metre	KG PER m<sup>2</sup>	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn kilograms per square metre	FALSE
3374	^3374(\d{6})$	N4+N6	Kilograms per square metre	KG PER m<sup>2</sup>	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn kilograms per square metre	FALSE
3375	^3375(\d{6})$	N4+N6	Kilograms per square metre	KG PER m<sup>2</sup>	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn kilograms per square metre	FALSE
3400	^3400(\d{6})$	N4+N6	"Logistic weight, pounds"	GROSS WEIGHT (lb)	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn pounds	FALSE
3401	^3401(\d{6})$	N4+N6	"Logistic weight, pounds"	GROSS WEIGHT (lb)	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n pounds	FALSE
3402	^3402(\d{6})$	N4+N6	"Logistic weight, pounds"	GROSS WEIGHT (lb)	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn pounds	FALSE
3403	^3403(\d{6})$	N4+N6	"Logistic weight, pounds"	GROSS WEIGHT (lb)	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn pounds	FALSE
3404	^3404(\d{6})$	N4+N6	"Logistic weight, pounds"	GROSS WEIGHT (lb)	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn pounds	FALSE
3405	^3405(\d{6})$	N4+N6	"Logistic weight, pounds"	GROSS WEIGHT (lb)	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn pounds	FALSE
3410	^3410(\d{6})$	N4+N6	"Length or first dimension, inches"	"LENGTH (in), log"	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn inches	FALSE
3411	^3411(\d{6})$	N4+N6	"Length or first dimension, inches"	"LENGTH (in), log"	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n inches	FALSE
3412	^3412(\d{6})$	N4+N6	"Length or first dimension, inches"	"LENGTH (in), log"	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn inches	FALSE
3413	^3413(\d{6})$	N4+N6	"Length or first dimension, inches"	"LENGTH (in), log"	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn inches	FALSE
3414	^3414(\d{6})$	N4+N6	"Length or first dimension, inches"	"LENGTH (in), log"	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn inches	FALSE
3415	^3415(\d{6})$	N4+N6	"Length or first dimension, inches"	"LENGTH (in), log"	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn inches	FALSE
3420	^3420(\d{6})$	N4+N6	"Length or first dimension, feet"	"LENGTH (ft), log"	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn feet	FALSE
3421	^3421(\d{6})$	N4+N6	"Length or first dimension, feet"	"LENGTH (ft), log"	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n feet	FALSE
3422	^3422(\d{6})$	N4+N6	"Length or first dimension, feet"	"LENGTH (ft), log"	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn feet	FALSE
3423	^3423(\d{6})$	N4+N6	"Length or first dimension, feet"	"LENGTH (ft), log"	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn feet	FALSE
3424	^3424(\d{6})$	N4+N6	"Length or first dimension, feet"	"LENGTH (ft), log"	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn feet	FALSE
3425	^3425(\d{6})$	N4+N6	"Length or first dimension, feet"	"LENGTH (ft), log"	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn feet	FALSE
3430	^3430(\d{6})$	N4+N6	"Length or first dimension, yards"	"LENGTH (yd), log"	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn yards	FALSE
3431	^3431(\d{6})$	N4+N6	"Length or first dimension, yards"	"LENGTH (yd), log"	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n yards	FALSE
3432	^3432(\d{6})$	N4+N6	"Length or first dimension, yards"	"LENGTH (yd), log"	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn yards	FALSE
3433	^3433(\d{6})$	N4+N6	"Length or first dimension, yards"	"LENGTH (yd), log"	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn yards	FALSE
3434	^3434(\d{6})$	N4+N6	"Length or first dimension, yards"	"LENGTH (yd), log"	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn yards	FALSE
3435	^3435(\d{6})$	N4+N6	"Length or first dimension, yards"	"LENGTH (yd), log"	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn yards	FALSE
3440	^3440(\d{6})$	N4+N6	"Width, diameter, or second dimension, inches"	"WIDTH (in), log"	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn inches	FALSE
3441	^3441(\d{6})$	N4+N6	"Width, diameter, or second dimension, inches"	"WIDTH (in), log"	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n inches	FALSE
3442	^3442(\d{6})$	N4+N6	"Width, diameter, or second dimension, inches"	"WIDTH (in), log"	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn inches	FALSE
3443	^3443(\d{6})$	N4+N6	"Width, diameter, or second dimension, inches"	"WIDTH (in), log"	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn inches	FALSE
3444	^3444(\d{6})$	N4+N6	"Width, diameter, or second dimension, inches"	"WIDTH (in), log"	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn inches	FALSE
3445	^3445(\d{6})$	N4+N6	"Width, diameter, or second dimension, inches"	"WIDTH (in), log"	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn inches	FALSE
3450	^3450(\d{6})$	N4+N6	"Width, diameter, or second dimension, feet"	"WIDTH (ft), log"	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn feet	FALSE
3451	^3451(\d{6})$	N4+N6	"Width, diameter, or second dimension, feet"	"WIDTH (ft), log"	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n feet	FALSE
3452	^3452(\d{6})$	N4+N6	"Width, diameter, or second dimension, feet"	"WIDTH (ft), log"	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn feet	FALSE
3453	^3453(\d{6})$	N4+N6	"Width, diameter, or second dimension, feet"	"WIDTH (ft), log"	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn feet	FALSE
3454	^3454(\d{6})$	N4+N6	"Width, diameter, or second dimension, feet"	"WIDTH (ft), log"	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn feet	FALSE
3455	^3455(\d{6})$	N4+N6	"Width, diameter, or second dimension, feet"	"WIDTH (ft), log"	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn feet	FALSE
3460	^3460(\d{6})$	N4+N6	"Width, diameter, or second dimension, yard"	"WIDTH (yd), log"	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn yards	FALSE
3461	^3461(\d{6})$	N4+N6	"Width, diameter, or second dimension, yard"	"WIDTH (yd), log"	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n yards	FALSE
3462	^3462(\d{6})$	N4+N6	"Width, diameter, or second dimension, yard"	"WIDTH (yd), log"	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn yards	FALSE
3463	^3463(\d{6})$	N4+N6	"Width, diameter, or second dimension, yard"	"WIDTH (yd), log"	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn yards	FALSE
3464	^3464(\d{6})$	N4+N6	"Width, diameter, or second dimension, yard"	"WIDTH (yd), log"	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn yards	FALSE
3465	^3465(\d{6})$	N4+N6	"Width, diameter, or second dimension, yard"	"WIDTH (yd), log"	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn yards	FALSE
3470	^3470(\d{6})$	N4+N6	"Depth, thickness, height, or third dimension, inches"	"HEIGHT (in), log"	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn inches	FALSE
3471	^3471(\d{6})$	N4+N6	"Depth, thickness, height, or third dimension, inches"	"HEIGHT (in), log"	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n inches	FALSE
3472	^3472(\d{6})$	N4+N6	"Depth, thickness, height, or third dimension, inches"	"HEIGHT (in), log"	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn inches	FALSE
3473	^3473(\d{6})$	N4+N6	"Depth, thickness, height, or third dimension, inches"	"HEIGHT (in), log"	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn inches	FALSE
3474	^3474(\d{6})$	N4+N6	"Depth, thickness, height, or third dimension, inches"	"HEIGHT (in), log"	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn inches	FALSE
3475	^3475(\d{6})$	N4+N6	"Depth, thickness, height, or third dimension, inches"	"HEIGHT (in), log"	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn inches	FALSE
3480	^3480(\d{6})$	N4+N6	"Depth, thickness, height, or third dimension, feet"	"HEIGHT (ft), log"	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn feet	FALSE
3481	^3481(\d{6})$	N4+N6	"Depth, thickness, height, or third dimension, feet"	"HEIGHT (ft), log"	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n feet	FALSE
3482	^3482(\d{6})$	N4+N6	"Depth, thickness, height, or third dimension, feet"	"HEIGHT (ft), log"	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn feet	FALSE
3483	^3483(\d{6})$	N4+N6	"Depth, thickness, height, or third dimension, feet"	"HEIGHT (ft), log"	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn feet	FALSE
3484	^3484(\d{6})$	N4+N6	"Depth, thickness, height, or third dimension, feet"	"HEIGHT (ft), log"	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn feet	FALSE
3485	^3485(\d{6})$	N4+N6	"Depth, thickness, height, or third dimension, feet"	"HEIGHT (ft), log"	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn feet	FALSE
3490	^3490(\d{6})$	N4+N6	"Depth, thickness, height, or third dimension, yards"	"HEIGHT (yd), log"	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn yards	FALSE
3491	^3491(\d{6})$	N4+N6	"Depth, thickness, height, or third dimension, yards"	"HEIGHT (yd), log"	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n yards	FALSE
3492	^3492(\d{6})$	N4+N6	"Depth, thickness, height, or third dimension, yards"	"HEIGHT (yd), log"	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn yards	FALSE
3493	^3493(\d{6})$	N4+N6	"Depth, thickness, height, or third dimension, yards"	"HEIGHT (yd), log"	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn yards	FALSE
3494	^3494(\d{6})$	N4+N6	"Depth, thickness, height, or third dimension, yards"	"HEIGHT (yd), log"	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn yards	FALSE
3495	^3495(\d{6})$	N4+N6	"Depth, thickness, height, or third dimension, yards"	"HEIGHT (yd), log"	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn yards	FALSE
3500	^3500(\d{6})$	N4+N6	"Area, square inches (variable measure trade item)"	AREA (in<sup>2</sup>)	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn square inches	FALSE
3501	^3501(\d{6})$	N4+N6	"Area, square inches (variable measure trade item)"	AREA (in<sup>2</sup>)	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n square inches	FALSE
3502	^3502(\d{6})$	N4+N6	"Area, square inches (variable measure trade item)"	AREA (in<sup>2</sup>)	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn square inches	FALSE
3503	^3503(\d{6})$	N4+N6	"Area, square inches (variable measure trade item)"	AREA (in<sup>2</sup>)	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn square inches	FALSE
3504	^3504(\d{6})$	N4+N6	"Area, square inches (variable measure trade item)"	AREA (in<sup>2</sup>)	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn square inches	FALSE
3505	^3505(\d{6})$	N4+N6	"Area, square inches (variable measure trade item)"	AREA (in<sup>2</sup>)	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn square inches	FALSE
3510	^3510(\d{6})$	N4+N6	"Area, square feet (variable measure trade item)"	AREA (ft<sup>2</sup>)	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn square feet	FALSE
3511	^3511(\d{6})$	N4+N6	"Area, square feet (variable measure trade item)"	AREA (ft<sup>2</sup>)	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n square feet	FALSE
3512	^3512(\d{6})$	N4+N6	"Area, square feet (variable measure trade item)"	AREA (ft<sup>2</sup>)	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn square feet	FALSE
3513	^3513(\d{6})$	N4+N6	"Area, square feet (variable measure trade item)"	AREA (ft<sup>2</sup>)	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn square feet	FALSE
3514	^3514(\d{6})$	N4+N6	"Area, square feet (variable measure trade item)"	AREA (ft<sup>2</sup>)	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn square feet	FALSE
3515	^3515(\d{6})$	N4+N6	"Area, square feet (variable measure trade item)"	AREA (ft<sup>2</sup>)	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn square feet	FALSE
3520	^3520(\d{6})$	N4+N6	"Area, square yards (variable measure trade item)"	AREA (yd<sup>2</sup>)	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn square yards	FALSE
3521	^3521(\d{6})$	N4+N6	"Area, square yards (variable measure trade item)"	AREA (yd<sup>2</sup>)	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n square yards	FALSE
3522	^3522(\d{6})$	N4+N6	"Area, square yards (variable measure trade item)"	AREA (yd<sup>2</sup>)	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn square yards	FALSE
3523	^3523(\d{6})$	N4+N6	"Area, square yards (variable measure trade item)"	AREA (yd<sup>2</sup>)	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn square yards	FALSE
3524	^3524(\d{6})$	N4+N6	"Area, square yards (variable measure trade item)"	AREA (yd<sup>2</sup>)	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn square yards	FALSE
3525	^3525(\d{6})$	N4+N6	"Area, square yards (variable measure trade item)"	AREA (yd<sup>2</sup>)	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn square yards	FALSE
3530	^3530(\d{6})$	N4+N6	"Area, square inches"	"AREA (in<sup>2</sup>), log"	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn square inches	FALSE
3531	^3531(\d{6})$	N4+N6	"Area, square inches"	"AREA (in<sup>2</sup>), log"	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n square inches	FALSE
3532	^3532(\d{6})$	N4+N6	"Area, square inches"	"AREA (in<sup>2</sup>), log"	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn square inches	FALSE
